drug_id,year_month,units_sold
DRG007,2018-02,53160
DRG007,2018-03,48048
DRG007,2018-04,50128
DRG007,2018-05,49697
DRG007,2018-06,53967
DRG007,2018-07,53470
DRG007,2018-08,55263
DRG007,2018-09,48563
DRG007,2018-10,51350
DRG007,2018-11,48088
DRG007,2018-12,49659
DRG007,2019-01,52045
DRG007,2019-02,48061
DRG007,2019-03,49494
DRG007,2019-04,53247
DRG007,2019-05,52374
DRG005,2019-06,42987
DRG007,2019-06,52743
DRG005,2019-07,47228
DRG007,2019-07,47894
DRG005,2019-08,47202
DRG007,2019-08,53649
DRG005,2019-09,43850
DRG007,2019-09,49134
DRG005,2019-10,48292
DRG007,2019-10,50640
DRG005,2019-11,42068
DRG007,2019-11,48645
DRG011,2019-11,43280
DRG005,2019-12,45747
DRG007,2019-12,54555
DRG011,2019-12,42507
DRG005,2020-01,45261
DRG007,2020-01,55936
DRG011,2020-01,40203
DRG005,2020-02,45375
DRG007,2020-02,54741
DRG011,2020-02,41777
DRG003,2020-03,15022
DRG005,2020-03,45557
DRG007,2020-03,53702
DRG011,2020-03,38021
DRG003,2020-04,13582
DRG005,2020-04,43484
DRG007,2020-04,48504
DRG011,2020-04,39247
DRG003,2020-05,13293
DRG005,2020-05,43401
DRG007,2020-05,53129
DRG011,2020-05,40113
DRG012,2020-05,19095
DRG003,2020-06,13540
DRG005,2020-06,43322
DRG007,2020-06,55633
DRG011,2020-06,41971
DRG012,2020-06,19840
DRG003,2020-07,13453
DRG005,2020-07,46650
DRG007,2020-07,49200
DRG009,2020-07,11769
DRG011,2020-07,44211
DRG012,2020-07,19937
DRG003,2020-08,14329
DRG005,2020-08,46329
DRG007,2020-08,54853
DRG009,2020-08,12530
DRG011,2020-08,39223
DRG012,2020-08,18040
DRG003,2020-09,13781
DRG005,2020-09,43328
DRG007,2020-09,49595
DRG009,2020-09,12850
DRG011,2020-09,43469
DRG012,2020-09,18922
DRG003,2020-10,14553
DRG005,2020-10,44249
DRG007,2020-10,55449
DRG009,2020-10,11921
DRG011,2020-10,39458
DRG012,2020-10,18709
DRG003,2020-11,14339
DRG005,2020-11,43292
DRG007,2020-11,52704
DRG009,2020-11,12764
DRG011,2020-11,40340
DRG012,2020-11,18624
DRG003,2020-12,15330
DRG005,2020-12,45069
DRG007,2020-12,48596
DRG009,2020-12,11130
DRG011,2020-12,38439
DRG012,2020-12,19898
DRG003,2021-01,14864
DRG005,2021-01,44440
DRG007,2021-01,48369
DRG009,2021-01,11773
DRG011,2021-01,44255
DRG012,2021-01,19591
DRG003,2021-02,15270
DRG005,2021-02,47598
DRG007,2021-02,47936
DRG009,2021-02,12424
DRG011,2021-02,42192
DRG012,2021-02,19615
DRG003,2021-03,13670
DRG005,2021-03,46015
DRG007,2021-03,48768
DRG009,2021-03,11875
DRG010,2021-03,37719
DRG011,2021-03,43977
DRG012,2021-03,20673
DRG003,2021-04,13662
DRG005,2021-04,45004
DRG007,2021-04,49326
DRG009,2021-04,12792
DRG010,2021-04,40253
DRG011,2021-04,39678
DRG012,2021-04,19934
DRG003,2021-05,14448
DRG005,2021-05,42500
DRG007,2021-05,54184
DRG009,2021-05,12076
DRG010,2021-05,39694
DRG011,2021-05,41199
DRG012,2021-05,17942
DRG003,2021-06,13800
DRG005,2021-06,41540
DRG007,2021-06,55570
DRG009,2021-06,12727
DRG010,2021-06,40017
DRG011,2021-06,39737
DRG012,2021-06,18121
DRG003,2021-07,15059
DRG005,2021-07,48218
DRG007,2021-07,48553
DRG009,2021-07,11973
DRG010,2021-07,35381
DRG011,2021-07,42710
DRG012,2021-07,20329
DRG003,2021-08,13356
DRG005,2021-08,44822
DRG007,2021-08,52414
DRG009,2021-08,11549
DRG010,2021-08,40264
DRG011,2021-08,40496
DRG012,2021-08,18601
DRG002,2021-09,22138
DRG003,2021-09,14722
DRG005,2021-09,42848
DRG007,2021-09,50433
DRG009,2021-09,12951
DRG010,2021-09,38911
DRG011,2021-09,40594
DRG012,2021-09,19555
DRG002,2021-10,20666
DRG003,2021-10,13575
DRG005,2021-10,43834
DRG007,2021-10,52735
DRG009,2021-10,11482
DRG010,2021-10,36299
DRG011,2021-10,38186
DRG012,2021-10,19909
DRG002,2021-11,21046
DRG003,2021-11,15121
DRG005,2021-11,47589
DRG007,2021-11,48430
DRG009,2021-11,11497
DRG010,2021-11,39027
DRG011,2021-11,39125
DRG012,2021-11,18353
DRG002,2021-12,23533
DRG003,2021-12,14361
DRG005,2021-12,44803
DRG007,2021-12,54368
DRG009,2021-12,12590
DRG010,2021-12,36118
DRG011,2021-12,38356
DRG012,2021-12,19285
DRG002,2022-01,21731
DRG003,2022-01,14125
DRG005,2022-01,46649
DRG007,2022-01,53442
DRG009,2022-01,12930
DRG010,2022-01,35558
DRG011,2022-01,40361
DRG012,2022-01,18999
DRG002,2022-02,23273
DRG003,2022-02,13629
DRG005,2022-02,42770
DRG007,2022-02,51572
DRG009,2022-02,11850
DRG010,2022-02,36654
DRG011,2022-02,39359
DRG012,2022-02,20821
DRG002,2022-03,21800
DRG003,2022-03,15021
DRG005,2022-03,45362
DRG007,2022-03,48261
DRG009,2022-03,12959
DRG010,2022-03,40043
DRG011,2022-03,44077
DRG012,2022-03,20830
DRG001,2022-04,19532
DRG002,2022-04,20825
DRG003,2022-04,14167
DRG005,2022-04,42939
DRG007,2022-04,51177
DRG009,2022-04,11153
DRG010,2022-04,37264
DRG011,2022-04,44184
DRG012,2022-04,18767
DRG001,2022-05,19341
DRG002,2022-05,21842
DRG003,2022-05,14025
DRG005,2022-05,48293
DRG007,2022-05,56122
DRG009,2022-05,12107
DRG010,2022-05,39328
DRG011,2022-05,38735
DRG012,2022-05,18866
DRG001,2022-06,19887
DRG002,2022-06,22279
DRG003,2022-06,14296
DRG005,2022-06,46785
DRG007,2022-06,48316
DRG009,2022-06,12162
DRG010,2022-06,38017
DRG011,2022-06,43314
DRG012,2022-06,18431
DRG001,2022-07,19864
DRG002,2022-07,20522
DRG003,2022-07,13486
DRG005,2022-07,45684
DRG007,2022-07,53458
DRG009,2022-07,11492
DRG010,2022-07,35689
DRG011,2022-07,43560
DRG012,2022-07,18708
DRG001,2022-08,18780
DRG002,2022-08,22420
DRG003,2022-08,14016
DRG005,2022-08,45602
DRG006,2022-08,28102
DRG007,2022-08,55617
DRG009,2022-08,11432
DRG010,2022-08,39314
DRG011,2022-08,39286
DRG012,2022-08,19175
DRG001,2022-09,19008
DRG002,2022-09,21296
DRG003,2022-09,13782
DRG005,2022-09,46813
DRG006,2022-09,26085
DRG007,2022-09,51653
DRG009,2022-09,12957
DRG010,2022-09,41016
DRG011,2022-09,38201
DRG012,2022-09,18605
DRG001,2022-10,17805
DRG002,2022-10,23525
DRG003,2022-10,15065
DRG005,2022-10,47731
DRG006,2022-10,27415
DRG007,2022-10,49152
DRG009,2022-10,12641
DRG010,2022-10,39238
DRG011,2022-10,41733
DRG012,2022-10,21020
DRG001,2022-11,18956
DRG002,2022-11,20268
DRG003,2022-11,14920
DRG004,2022-11,30005
DRG005,2022-11,46176
DRG006,2022-11,29966
DRG007,2022-11,48957
DRG009,2022-11,11262
DRG010,2022-11,35611
DRG011,2022-11,41349
DRG012,2022-11,18790
DRG001,2022-12,18810
DRG002,2022-12,22766
DRG003,2022-12,13527
DRG004,2022-12,31666
DRG005,2022-12,43301
DRG006,2022-12,27949
DRG007,2022-12,55372
DRG009,2022-12,12665
DRG010,2022-12,35521
DRG011,2022-12,40499
DRG012,2022-12,18803
DRG001,2023-01,17030
DRG002,2023-01,22954
DRG003,2023-01,14512
DRG004,2023-01,29819
DRG005,2023-01,46737
DRG006,2023-01,28232
DRG007,2023-01,51398
DRG008,2023-01,9031
DRG009,2023-01,11184
DRG010,2023-01,40329
DRG011,2023-01,43650
DRG012,2023-01,19642
DRG001,2023-02,19490
DRG002,2023-02,22290
DRG003,2023-02,13400
DRG004,2023-02,29152
DRG005,2023-02,43619
DRG006,2023-02,29787
DRG007,2023-02,54464
DRG008,2023-02,10366
DRG009,2023-02,12766
DRG010,2023-02,36237
DRG011,2023-02,39357
DRG012,2023-02,18261
DRG001,2023-03,19329
DRG002,2023-03,23352
DRG003,2023-03,13987
DRG004,2023-03,31598
DRG005,2023-03,42513
DRG006,2023-03,29926
DRG007,2023-03,55034
DRG008,2023-03,10547
DRG009,2023-03,12597
DRG010,2023-03,40319
DRG011,2023-03,37883
DRG012,2023-03,20238
DRG001,2023-04,18003
DRG002,2023-04,23516
DRG003,2023-04,14887
DRG004,2023-04,32806
DRG005,2023-04,47237
DRG006,2023-04,26955
DRG007,2023-04,54391
DRG008,2023-04,9185
DRG009,2023-04,12715
DRG010,2023-04,40180
DRG011,2023-04,39179
DRG012,2023-04,20488
DRG001,2023-05,18382
DRG002,2023-05,21314
DRG003,2023-05,14871
DRG004,2023-05,29649
DRG005,2023-05,41570
DRG006,2023-05,26625
DRG007,2023-05,50571
DRG008,2023-05,10371
DRG009,2023-05,12896
DRG010,2023-05,36657
DRG011,2023-05,41928
DRG012,2023-05,19187
DRG001,2023-06,19924
DRG002,2023-06,22127
DRG003,2023-06,15198
DRG004,2023-06,29092
DRG005,2023-06,48387
DRG006,2023-06,26560
DRG007,2023-06,55848
DRG008,2023-06,9432
DRG009,2023-06,11248
DRG010,2023-06,37602
DRG011,2023-06,42499
DRG012,2023-06,18919
DRG001,2023-07,18814
DRG002,2023-07,22040
DRG003,2023-07,13939
DRG004,2023-07,31380
DRG005,2023-07,43234
DRG006,2023-07,28935
DRG007,2023-07,47854
DRG008,2023-07,10467
DRG009,2023-07,12074
DRG010,2023-07,39334
DRG011,2023-07,42587
DRG012,2023-07,20032
DRG001,2023-08,18098
DRG002,2023-08,20486
DRG003,2023-08,14573
DRG004,2023-08,30158
DRG005,2023-08,43660
DRG006,2023-08,29559
DRG007,2023-08,53828
DRG008,2023-08,9487
DRG009,2023-08,11634
DRG010,2023-08,37443
DRG011,2023-08,40360
DRG012,2023-08,18862
DRG001,2023-09,17397
DRG002,2023-09,21720
DRG003,2023-09,15201
DRG004,2023-09,31879
DRG005,2023-09,47900
DRG006,2023-09,28518
DRG007,2023-09,50344
DRG008,2023-09,9875
DRG009,2023-09,11041
DRG010,2023-09,36704
DRG011,2023-09,40540
DRG012,2023-09,19750
DRG001,2023-10,18958
DRG002,2023-10,21877
DRG003,2023-10,14069
DRG004,2023-10,29580
DRG005,2023-10,44807
DRG006,2023-10,29797
DRG007,2023-10,54463
DRG008,2023-10,9282
DRG009,2023-10,11203
DRG010,2023-10,38094
DRG011,2023-10,41872
DRG012,2023-10,18986
DRG001,2023-11,19443
DRG002,2023-11,22884
DRG003,2023-11,14593
DRG004,2023-11,29634
DRG005,2023-11,42834
DRG006,2023-11,25869
DRG007,2023-11,49877
DRG008,2023-11,9761
DRG009,2023-11,12671
DRG010,2023-11,35403
DRG011,2023-11,40439
DRG012,2023-11,19905
DRG001,2023-12,17596
DRG002,2023-12,22691
DRG003,2023-12,14187
DRG004,2023-12,29730
DRG005,2023-12,46124
DRG006,2023-12,25785
DRG007,2023-12,54088
DRG008,2023-12,10223
DRG009,2023-12,11245
DRG010,2023-12,37545
DRG011,2023-12,38874
DRG012,2023-12,20929
DRG001,2024-01,18553
DRG002,2024-01,20417
DRG003,2024-01,13630
DRG004,2024-01,32728
DRG005,2024-01,44687
DRG006,2024-01,29350
DRG007,2024-01,53394
