drug_id,drug_name,therapeutic_area,quarter,reaction,is_novel_reaction,severity_bucket,reporter_type,country,age_group,report_count
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Serious,Physician,JP,65-74,2
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Serious,Pharmacist,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Critical,Consumer,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Neutropenia,False,Moderate,Consumer,US,18-44,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Critical,Physician,DE,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Critical,Consumer,GB,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Serious,Consumer,US,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Serious,Other,FR,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Serious,Other,CA,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Critical,Pharmacist,DE,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Mild,Physician,CA,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Critical,Consumer,JP,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Serious,Consumer,JP,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Moderate,Physician,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Serious,Consumer,GB,18-44,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Serious,Pharmacist,US,18-44,1
DRG001,Veraximab,Oncology,2023-Q2,Alopecia,False,Serious,Physician,DE,75+,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Serious,Pharmacist,FR,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Critical,Other,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Dyspnea,True,Mild,Other,US,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Moderate,Consumer,DE,75+,1
DRG001,Veraximab,Oncology,2023-Q2,Neutropenia,False,Serious,Consumer,DE,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Critical,Physician,JP,75+,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Serious,Consumer,GB,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Mild,Physician,JP,45-64,1
DRG001,Veraximab,Oncology,2023-Q2,QT prolongation,True,Serious,Physician,GB,65-74,1
DRG001,Veraximab,Oncology,2023-Q2,Hepatotoxicity,True,Serious,Pharmacist,GB,45-64,1
