drug_id,drug_name,therapeutic_area,quarter,event_year,event_quarter_num,total_reports,serious_pct,novel_pct,units_sold,reports_per_1k
DRG001,Veraximab,Oncology,2020-Q1,2020,1,33,84.8,72.7,0.0,
DRG001,Veraximab,Oncology,2020-Q2,2020,2,39,89.7,84.6,0.0,
DRG001,Veraximab,Oncology,2020-Q3,2020,3,32,81.3,84.4,0.0,
DRG001,Veraximab,Oncology,2020-Q4,2020,4,38,89.5,81.6,0.0,
DRG001,Veraximab,Oncology,2021-Q1,2021,1,38,81.6,86.8,0.0,
DRG001,Veraximab,Oncology,2021-Q2,2021,2,39,87.2,87.2,0.0,
DRG001,Veraximab,Oncology,2021-Q3,2021,3,39,89.7,87.2,0.0,
DRG001,Veraximab,Oncology,2021-Q4,2021,4,42,85.7,88.1,0.0,
DRG001,Veraximab,Oncology,2022-Q1,2022,1,47,87.2,89.4,0.0,
DRG001,Veraximab,Oncology,2022-Q2,2022,2,33,84.8,97.0,53841.0,0.61
DRG001,Veraximab,Oncology,2022-Q3,2022,3,36,77.8,86.1,55904.0,0.64
DRG001,Veraximab,Oncology,2022-Q4,2022,4,46,91.3,89.1,55207.0,0.83
DRG001,Veraximab,Oncology,2023-Q1,2023,1,44,90.9,93.2,53291.0,0.83
DRG001,Veraximab,Oncology,2023-Q2,2023,2,41,82.9,87.8,53652.0,0.76
DRG001,Veraximab,Oncology,2023-Q3,2023,3,42,97.6,90.5,55070.0,0.76
DRG001,Veraximab,Oncology,2023-Q4,2023,4,48,85.4,87.5,55860.0,0.86
DRG001,Veraximab,Oncology,2024-Q1,2024,1,18,88.9,88.9,54593.0,0.33
DRG002,Loretinib,Oncology,2020-Q1,2020,1,43,25.6,0.0,0.0,
DRG002,Loretinib,Oncology,2020-Q2,2020,2,44,34.1,0.0,0.0,
DRG002,Loretinib,Oncology,2020-Q3,2020,3,37,35.1,0.0,0.0,
DRG002,Loretinib,Oncology,2020-Q4,2020,4,51,21.6,0.0,0.0,
DRG002,Loretinib,Oncology,2021-Q1,2021,1,45,17.8,0.0,0.0,
DRG002,Loretinib,Oncology,2021-Q2,2021,2,31,16.1,0.0,0.0,
DRG002,Loretinib,Oncology,2021-Q3,2021,3,37,32.4,0.0,23609.0,1.57
DRG002,Loretinib,Oncology,2021-Q4,2021,4,38,26.3,0.0,62571.0,0.61
DRG002,Loretinib,Oncology,2022-Q1,2022,1,47,27.7,0.0,68669.0,0.68
DRG002,Loretinib,Oncology,2022-Q2,2022,2,43,20.9,0.0,68602.0,0.63
DRG002,Loretinib,Oncology,2022-Q3,2022,3,36,19.4,0.0,66915.0,0.54
DRG002,Loretinib,Oncology,2022-Q4,2022,4,41,31.7,0.0,67962.0,0.6
DRG002,Loretinib,Oncology,2023-Q1,2023,1,42,14.3,0.0,64163.0,0.65
DRG002,Loretinib,Oncology,2023-Q2,2023,2,43,16.3,0.0,62839.0,0.68
DRG002,Loretinib,Oncology,2023-Q3,2023,3,47,17.0,0.0,64292.0,0.73
DRG002,Loretinib,Oncology,2023-Q4,2023,4,38,31.6,0.0,64044.0,0.59
DRG002,Loretinib,Oncology,2024-Q1,2024,1,15,20.0,0.0,67238.0,0.22
DRG003,Daxolimab,Oncology,2020-Q1,2020,1,43,30.2,0.0,14448.0,2.98
DRG003,Daxolimab,Oncology,2020-Q2,2020,2,28,17.9,0.0,41609.0,0.67
DRG003,Daxolimab,Oncology,2020-Q3,2020,3,47,29.8,0.0,43756.0,1.07
DRG003,Daxolimab,Oncology,2020-Q4,2020,4,37,32.4,0.0,43927.0,0.84
DRG003,Daxolimab,Oncology,2021-Q1,2021,1,40,12.5,0.0,41548.0,0.96
DRG003,Daxolimab,Oncology,2021-Q2,2021,2,45,24.4,0.0,40996.0,1.1
DRG003,Daxolimab,Oncology,2021-Q3,2021,3,36,19.4,0.0,44040.0,0.82
DRG003,Daxolimab,Oncology,2021-Q4,2021,4,49,28.6,0.0,43658.0,1.12
DRG003,Daxolimab,Oncology,2022-Q1,2022,1,30,33.3,0.0,41397.0,0.72
DRG003,Daxolimab,Oncology,2022-Q2,2022,2,51,33.3,0.0,42392.0,1.2
DRG003,Daxolimab,Oncology,2022-Q3,2022,3,40,27.5,0.0,42637.0,0.94
DRG003,Daxolimab,Oncology,2022-Q4,2022,4,48,35.4,0.0,42823.0,1.12
DRG003,Daxolimab,Oncology,2023-Q1,2023,1,55,20.0,0.0,40974.0,1.34
DRG003,Daxolimab,Oncology,2023-Q2,2023,2,37,24.3,0.0,42095.0,0.88
DRG003,Daxolimab,Oncology,2023-Q3,2023,3,46,26.1,0.0,43524.0,1.06
DRG003,Daxolimab,Oncology,2023-Q4,2023,4,42,19.0,0.0,43380.0,0.97
DRG003,Daxolimab,Oncology,2024-Q1,2024,1,12,8.3,0.0,43598.0,0.28
DRG004,Norafentix,CNS,2020-Q1,2020,1,41,90.2,97.6,0.0,
DRG004,Norafentix,CNS,2020-Q2,2020,2,45,86.7,91.1,0.0,
DRG004,Norafentix,CNS,2020-Q3,2020,3,39,82.1,87.2,0.0,
DRG004,Norafentix,CNS,2020-Q4,2020,4,26,88.5,88.5,0.0,
DRG004,Norafentix,CNS,2021-Q1,2021,1,34,73.5,85.3,0.0,
DRG004,Norafentix,CNS,2021-Q2,2021,2,36,88.9,94.4,0.0,
DRG004,Norafentix,CNS,2021-Q3,2021,3,43,86.0,93.0,0.0,
DRG004,Norafentix,CNS,2021-Q4,2021,4,39,87.2,82.1,0.0,
DRG004,Norafentix,CNS,2022-Q1,2022,1,51,82.4,80.4,0.0,
DRG004,Norafentix,CNS,2022-Q2,2022,2,45,80.0,86.7,0.0,
DRG004,Norafentix,CNS,2022-Q3,2022,3,37,78.4,86.5,0.0,
DRG004,Norafentix,CNS,2022-Q4,2022,4,41,85.4,90.2,61542.0,0.67
DRG004,Norafentix,CNS,2023-Q1,2023,1,42,88.1,76.2,90519.0,0.46
DRG004,Norafentix,CNS,2023-Q2,2023,2,35,85.7,77.1,95941.0,0.36
DRG004,Norafentix,CNS,2023-Q3,2023,3,48,85.4,91.7,93456.0,0.51
DRG004,Norafentix,CNS,2023-Q4,2023,4,54,87.0,83.3,94527.0,0.57
DRG004,Norafentix,CNS,2024-Q1,2024,1,12,83.3,66.7,93120.0,0.13
DRG005,Zenpravox,CNS,2020-Q1,2020,1,34,29.4,0.0,138729.0,0.25
DRG005,Zenpravox,CNS,2020-Q2,2020,2,37,29.7,0.0,137757.0,0.27
DRG005,Zenpravox,CNS,2020-Q3,2020,3,42,28.6,0.0,128814.0,0.33
DRG005,Zenpravox,CNS,2020-Q4,2020,4,43,14.0,0.0,136114.0,0.32
DRG005,Zenpravox,CNS,2021-Q1,2021,1,40,22.5,0.0,133489.0,0.3
DRG005,Zenpravox,CNS,2021-Q2,2021,2,44,27.3,0.0,135054.0,0.33
DRG005,Zenpravox,CNS,2021-Q3,2021,3,40,25.0,0.0,134787.0,0.3
DRG005,Zenpravox,CNS,2021-Q4,2021,4,38,26.3,0.0,138288.0,0.27
DRG005,Zenpravox,CNS,2022-Q1,2022,1,46,28.3,0.0,131952.0,0.35
DRG005,Zenpravox,CNS,2022-Q2,2022,2,46,37.0,0.0,132488.0,0.35
DRG005,Zenpravox,CNS,2022-Q3,2022,3,50,28.0,0.0,127954.0,0.39
DRG005,Zenpravox,CNS,2022-Q4,2022,4,34,44.1,0.0,136911.0,0.25
DRG005,Zenpravox,CNS,2023-Q1,2023,1,52,28.8,0.0,132613.0,0.39
DRG005,Zenpravox,CNS,2023-Q2,2023,2,50,24.0,0.0,131513.0,0.38
DRG005,Zenpravox,CNS,2023-Q3,2023,3,42,19.0,0.0,138451.0,0.3
DRG005,Zenpravox,CNS,2023-Q4,2023,4,49,30.6,0.0,137034.0,0.36
DRG005,Zenpravox,CNS,2024-Q1,2024,1,13,30.8,0.0,131052.0,0.1
DRG006,Celvaxin,Cardiology,2020-Q1,2020,1,44,84.1,86.4,0.0,
DRG006,Celvaxin,Cardiology,2020-Q2,2020,2,45,84.4,82.2,0.0,
DRG006,Celvaxin,Cardiology,2020-Q3,2020,3,45,80.0,80.0,0.0,
DRG006,Celvaxin,Cardiology,2020-Q4,2020,4,46,84.8,80.4,0.0,
DRG006,Celvaxin,Cardiology,2021-Q1,2021,1,50,84.0,84.0,0.0,
DRG006,Celvaxin,Cardiology,2021-Q2,2021,2,41,73.2,78.0,0.0,
DRG006,Celvaxin,Cardiology,2021-Q3,2021,3,47,85.1,87.2,0.0,
DRG006,Celvaxin,Cardiology,2021-Q4,2021,4,51,94.1,68.6,0.0,
DRG006,Celvaxin,Cardiology,2022-Q1,2022,1,45,84.4,77.8,0.0,
DRG006,Celvaxin,Cardiology,2022-Q2,2022,2,46,91.3,87.0,0.0,
DRG006,Celvaxin,Cardiology,2022-Q3,2022,3,40,92.5,85.0,56878.0,0.7
DRG006,Celvaxin,Cardiology,2022-Q4,2022,4,47,85.1,85.1,85147.0,0.55
DRG006,Celvaxin,Cardiology,2023-Q1,2023,1,30,83.3,83.3,84464.0,0.36
DRG006,Celvaxin,Cardiology,2023-Q2,2023,2,39,89.7,87.2,81256.0,0.48
DRG006,Celvaxin,Cardiology,2023-Q3,2023,3,45,80.0,86.7,81537.0,0.55
DRG006,Celvaxin,Cardiology,2023-Q4,2023,4,37,78.4,94.6,87260.0,0.42
DRG006,Celvaxin,Cardiology,2024-Q1,2024,1,21,95.2,71.4,84449.0,0.25
DRG007,Eptifenex,Cardiology,2020-Q1,2020,1,45,13.3,0.0,154730.0,0.29
DRG007,Eptifenex,Cardiology,2020-Q2,2020,2,32,21.9,0.0,159659.0,0.2
DRG007,Eptifenex,Cardiology,2020-Q3,2020,3,37,37.8,0.0,153491.0,0.24
DRG007,Eptifenex,Cardiology,2020-Q4,2020,4,37,24.3,0.0,155635.0,0.24
DRG007,Eptifenex,Cardiology,2021-Q1,2021,1,41,24.4,0.0,153881.0,0.27
DRG007,Eptifenex,Cardiology,2021-Q2,2021,2,43,34.9,0.0,155668.0,0.28
DRG007,Eptifenex,Cardiology,2021-Q3,2021,3,45,17.8,0.0,156214.0,0.29
DRG007,Eptifenex,Cardiology,2021-Q4,2021,4,49,26.5,0.0,158955.0,0.31
DRG007,Eptifenex,Cardiology,2022-Q1,2022,1,35,20.0,0.0,154387.0,0.23
DRG007,Eptifenex,Cardiology,2022-Q2,2022,2,35,34.3,0.0,154903.0,0.23
DRG007,Eptifenex,Cardiology,2022-Q3,2022,3,36,22.2,0.0,156244.0,0.23
DRG007,Eptifenex,Cardiology,2022-Q4,2022,4,48,18.8,0.0,154191.0,0.31
DRG007,Eptifenex,Cardiology,2023-Q1,2023,1,45,22.2,0.0,160820.0,0.28
DRG007,Eptifenex,Cardiology,2023-Q2,2023,2,36,13.9,0.0,155222.0,0.23
DRG007,Eptifenex,Cardiology,2023-Q3,2023,3,43,16.3,0.0,161399.0,0.27
DRG007,Eptifenex,Cardiology,2023-Q4,2023,4,52,40.4,0.0,157240.0,0.33
DRG007,Eptifenex,Cardiology,2024-Q1,2024,1,22,40.9,0.0,158328.0,0.14
DRG008,Durosamab,Cardiology,2020-Q1,2020,1,37,29.7,0.0,0.0,
DRG008,Durosamab,Cardiology,2020-Q2,2020,2,42,33.3,0.0,0.0,
DRG008,Durosamab,Cardiology,2020-Q3,2020,3,38,34.2,0.0,0.0,
DRG008,Durosamab,Cardiology,2020-Q4,2020,4,36,19.4,0.0,0.0,
DRG008,Durosamab,Cardiology,2021-Q1,2021,1,35,14.3,0.0,0.0,
DRG008,Durosamab,Cardiology,2021-Q2,2021,2,34,26.5,0.0,0.0,
DRG008,Durosamab,Cardiology,2021-Q3,2021,3,46,10.9,0.0,0.0,
DRG008,Durosamab,Cardiology,2021-Q4,2021,4,49,22.4,0.0,0.0,
DRG008,Durosamab,Cardiology,2022-Q1,2022,1,33,15.2,0.0,0.0,
DRG008,Durosamab,Cardiology,2022-Q2,2022,2,34,35.3,0.0,0.0,
DRG008,Durosamab,Cardiology,2022-Q3,2022,3,41,24.4,0.0,0.0,
DRG008,Durosamab,Cardiology,2022-Q4,2022,4,33,18.2,0.0,0.0,
DRG008,Durosamab,Cardiology,2023-Q1,2023,1,35,22.9,0.0,28912.0,1.21
DRG008,Durosamab,Cardiology,2023-Q2,2023,2,36,47.2,0.0,28510.0,1.26
DRG008,Durosamab,Cardiology,2023-Q3,2023,3,35,22.9,0.0,29440.0,1.19
DRG008,Durosamab,Cardiology,2023-Q4,2023,4,52,23.1,0.0,29222.0,1.78
DRG008,Durosamab,Cardiology,2024-Q1,2024,1,18,22.2,0.0,29940.0,0.6
DRG009,Symtravax,Infectious,2020-Q1,2020,1,38,10.5,0.0,0.0,
DRG009,Symtravax,Infectious,2020-Q2,2020,2,41,22.0,0.0,0.0,
DRG009,Symtravax,Infectious,2020-Q3,2020,3,37,24.3,0.0,34471.0,1.07
DRG009,Symtravax,Infectious,2020-Q4,2020,4,37,29.7,0.0,36327.0,1.02
DRG009,Symtravax,Infectious,2021-Q1,2021,1,45,26.7,0.0,36423.0,1.24
DRG009,Symtravax,Infectious,2021-Q2,2021,2,36,25.0,0.0,34979.0,1.03
DRG009,Symtravax,Infectious,2021-Q3,2021,3,36,22.2,0.0,37506.0,0.96
DRG009,Symtravax,Infectious,2021-Q4,2021,4,46,26.1,0.0,34767.0,1.32
DRG009,Symtravax,Infectious,2022-Q1,2022,1,45,28.9,0.0,36967.0,1.22
DRG009,Symtravax,Infectious,2022-Q2,2022,2,38,13.2,0.0,36902.0,1.03
DRG009,Symtravax,Infectious,2022-Q3,2022,3,36,30.6,0.0,35294.0,1.02
DRG009,Symtravax,Infectious,2022-Q4,2022,4,39,33.3,0.0,36790.0,1.06
DRG009,Symtravax,Infectious,2023-Q1,2023,1,40,32.5,0.0,36862.0,1.09
DRG009,Symtravax,Infectious,2023-Q2,2023,2,34,41.2,0.0,38243.0,0.89
DRG009,Symtravax,Infectious,2023-Q3,2023,3,40,30.0,0.0,35220.0,1.14
DRG009,Symtravax,Infectious,2023-Q4,2023,4,39,33.3,0.0,38106.0,1.02
DRG009,Symtravax,Infectious,2024-Q1,2024,1,17,17.6,0.0,36701.0,0.46
