drug_id,drug_name,therapeutic_area,indication,launch_date,months_since_launch,class_avg_serious_rate,total_reports,serious_reports,novel_reports,prev_reports,units_sold,serious_pct,novel_pct,rate_per_1k,portfolio_avg_rate,score_reporting_rate,score_severity,score_novelty,score_velocity,composite_score,signal_flag
DRG001,Veraximab,Oncology,HER2+ breast cancer,2022-04-01,49,0.19,18,16.0,16.0,48,54593.0,88.9,88.9,0.33,0.2577567688499889,51.2,100.0,100.0,0.0,70.4,Investigate
DRG006,Celvaxin,Cardiology,Heart failure rEF,2022-08-01,45,0.14,21,20.0,15.0,37,84449.0,95.2,71.4,0.25,0.2577567688499889,38.6,100.0,100.0,0.0,66.6,Investigate
DRG004,Norafentix,CNS,Treatment-resistant depression,2022-11-01,42,0.12,12,10.0,8.0,54,93120.0,83.3,66.7,0.13,0.2577567688499889,20.0,100.0,100.0,0.0,61.0,Monitor
DRG008,Durosamab,Cardiology,Hypertrophic cardiomyopathy,2023-01-01,40,0.15,18,4.0,0.0,52,29940.0,22.2,0.0,0.6,0.2577567688499889,93.3,59.3,0.0,0.0,48.7,Monitor
DRG012,Omnivectin,Autoimmune,Moderate-severe Crohn's,2020-05-01,72,0.14,15,5.0,0.0,29,58389.0,33.3,0.0,0.26,0.2577567688499889,39.9,95.2,0.0,0.0,45.3,Monitor
DRG011,Relixanib,Autoimmune,Moderate-severe RA,2019-11-01,78,0.16,25,10.0,0.0,36,121285.0,40.0,0.0,0.21,0.2577567688499889,32.0,100.0,0.0,0.0,44.6,Monitor
DRG007,Eptifenex,Cardiology,Atrial fibrillation,2018-02-01,99,0.13,22,9.0,0.0,52,158328.0,40.9,0.0,0.14,0.2577567688499889,21.6,100.0,0.0,0.0,41.5,Monitor
DRG005,Zenpravox,CNS,Bipolar disorder,2019-06-01,83,0.11,13,4.0,0.0,49,131052.0,30.8,0.0,0.1,0.2577567688499889,15.4,100.0,0.0,0.0,39.6,Clear
DRG009,Symtravax,Infectious,MDR-TB adjunct therapy,2020-07-01,70,0.17,17,3.0,0.0,39,36701.0,17.6,0.0,0.46,0.2577567688499889,71.9,41.5,0.0,0.0,36.1,Clear
DRG010,Falotrimab,Infectious,HIV integrase inhibition,2021-03-01,62,0.09,14,2.0,0.0,43,114826.0,14.3,0.0,0.12,0.2577567688499889,18.9,63.5,0.0,0.0,27.9,Clear
DRG002,Loretinib,Oncology,NSCLC EGFR-mutant,2021-09-01,56,0.21,15,3.0,0.0,38,67238.0,20.0,0.0,0.22,0.2577567688499889,34.6,38.1,0.0,0.0,23.7,Clear
DRG003,Daxolimab,Oncology,Multiple myeloma,2020-03-01,74,0.23,12,1.0,0.0,42,43598.0,8.3,0.0,0.28,0.2577567688499889,42.7,14.5,0.0,0.0,17.9,Clear
